Id,Prediction
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,1
218,1
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,0
230,0
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,1
411,1
412,1
413,1
414,1
415,0
416,0
417,0
418,0
419,1
